date,nav,currency,source
2021-09-09,19.2843,USD,anuefund_public
2021-09-10,19.4106,USD,anuefund_public
2021-09-11,19.4106,USD,anuefund_public
2021-09-13,19.2494,USD,anuefund_public
2021-09-14,19.2334,USD,anuefund_public
2021-09-15,19.2135,USD,anuefund_public
2021-09-16,19.2368,USD,anuefund_public
2021-09-17,19.2605,USD,anuefund_public
2021-09-22,19.0471,USD,anuefund_public
2021-09-23,19.3191,USD,anuefund_public
2021-09-24,19.3695,USD,anuefund_public
2021-09-27,19.2518,USD,anuefund_public
2021-09-28,18.7251,USD,anuefund_public
2021-09-29,18.2526,USD,anuefund_public
2021-09-30,18.245,USD,anuefund_public
2021-10-01,18.1826,USD,anuefund_public
2021-10-04,17.7877,USD,anuefund_public
2021-10-05,18.035,USD,anuefund_public
2021-10-06,17.9577,USD,anuefund_public
2021-10-07,18.3519,USD,anuefund_public
2021-10-08,18.2553,USD,anuefund_public
2021-10-12,18.0752,USD,anuefund_public
2021-10-13,17.9387,USD,anuefund_public
2021-10-14,18.1662,USD,anuefund_public
2021-10-15,18.4732,USD,anuefund_public
2021-10-18,18.5803,USD,anuefund_public
2021-10-19,18.9511,USD,anuefund_public
2021-10-20,19.02,USD,anuefund_public
2021-10-21,19.0827,USD,anuefund_public
2021-10-22,19.1468,USD,anuefund_public
2021-10-25,19.4176,USD,anuefund_public
2021-10-26,19.5187,USD,anuefund_public
2021-10-27,19.7704,USD,anuefund_public
2021-10-28,20.0875,USD,anuefund_public
2021-10-29,20.2426,USD,anuefund_public
2021-11-01,20.6504,USD,anuefund_public
2021-11-02,20.5568,USD,anuefund_public
2021-11-03,20.5535,USD,anuefund_public
2021-11-04,20.8039,USD,anuefund_public
2021-11-05,20.9746,USD,anuefund_public
2021-11-08,21.0241,USD,anuefund_public
2021-11-09,21.0495,USD,anuefund_public
2021-11-10,20.7696,USD,anuefund_public
2021-11-11,20.8009,USD,anuefund_public
2021-11-12,20.9098,USD,anuefund_public
2021-11-15,20.9506,USD,anuefund_public
2021-11-16,21.1763,USD,anuefund_public
2021-11-17,21.2823,USD,anuefund_public
2021-11-18,21.3045,USD,anuefund_public
2021-11-19,21.3575,USD,anuefund_public
2021-11-22,21.1294,USD,anuefund_public
2021-11-23,20.796,USD,anuefund_public
2021-11-24,20.7844,USD,anuefund_public
2021-11-25,20.7844,USD,anuefund_public
2021-11-26,20.324,USD,anuefund_public
2021-11-29,20.8347,USD,anuefund_public
2021-11-30,20.7662,USD,anuefund_public
2021-12-01,20.6924,USD,anuefund_public
2021-12-02,20.6095,USD,anuefund_public
2021-12-03,20.512,USD,anuefund_public
2021-12-06,20.3588,USD,anuefund_public
2021-12-07,20.8801,USD,anuefund_public
2021-12-08,21.0566,USD,anuefund_public
2021-12-09,20.7417,USD,anuefund_public
2021-12-10,20.73,USD,anuefund_public
2021-12-13,20.4716,USD,anuefund_public
2021-12-14,20.099,USD,anuefund_public
2021-12-15,20.7266,USD,anuefund_public
2021-12-16,20.5332,USD,anuefund_public
2021-12-17,20.446,USD,anuefund_public
