date,nav,currency,source
2022-01-19,113.4888,USD,anuefund_public
2022-01-20,121.8379,USD,anuefund_public
2022-01-21,119.0309,USD,anuefund_public
2022-01-24,114.4734,USD,anuefund_public
2022-01-25,113.588,USD,anuefund_public
2022-01-26,116.5672,USD,anuefund_public
2022-01-27,110.6582,USD,anuefund_public
2022-01-28,106.8062,USD,anuefund_public
2022-01-31,107.0115,USD,anuefund_public
2022-02-01,110.5986,USD,anuefund_public
2022-02-02,111.809,USD,anuefund_public
2022-02-03,110.9415,USD,anuefund_public
2022-02-04,109.2321,USD,anuefund_public
2022-02-07,111.1391,USD,anuefund_public
2022-02-08,113.2587,USD,anuefund_public
2022-02-09,115.6476,USD,anuefund_public
2022-02-10,114.5862,USD,anuefund_public
2022-02-11,112.7945,USD,anuefund_public
2022-02-14,118.4284,USD,anuefund_public
2022-02-15,121.0525,USD,anuefund_public
2022-02-16,119.5766,USD,anuefund_public
2022-02-17,122.722,USD,anuefund_public
2022-02-18,126.7163,USD,anuefund_public
2022-02-21,126.7163,USD,anuefund_public
2022-02-22,126.2479,USD,anuefund_public
2022-02-23,124.9746,USD,anuefund_public
2022-02-24,126.701,USD,anuefund_public
2022-02-25,123.6656,USD,anuefund_public
2022-02-28,124.9571,USD,anuefund_public
2022-03-01,125.5725,USD,anuefund_public
2022-03-02,130.7307,USD,anuefund_public
2022-03-03,129.3377,USD,anuefund_public
2022-03-04,129.6526,USD,anuefund_public
2022-03-07,136.2445,USD,anuefund_public
2022-03-08,138.5492,USD,anuefund_public
2022-03-09,140.2964,USD,anuefund_public
2022-03-10,138.9478,USD,anuefund_public
2022-03-11,140.4988,USD,anuefund_public
2022-03-14,136.3677,USD,anuefund_public
2022-03-15,131.9333,USD,anuefund_public
2022-03-16,134.3141,USD,anuefund_public
2022-03-17,136.7015,USD,anuefund_public
2022-03-18,136.9079,USD,anuefund_public
2022-03-21,138.0586,USD,anuefund_public
2022-03-22,136.9826,USD,anuefund_public
2022-03-23,137.921,USD,anuefund_public
2022-03-24,139.0714,USD,anuefund_public
2022-03-25,138.0649,USD,anuefund_public
2022-03-28,137.9066,USD,anuefund_public
2022-03-29,134.9293,USD,anuefund_public
2022-03-30,136.1933,USD,anuefund_public
2022-03-31,137.1862,USD,anuefund_public
2022-04-01,136.3953,USD,anuefund_public
2022-04-04,140.0843,USD,anuefund_public
2022-04-05,139.3619,USD,anuefund_public
2022-04-06,135.488,USD,anuefund_public
2022-04-07,134.936,USD,anuefund_public
2022-04-08,136.5929,USD,anuefund_public
2022-04-11,141.1507,USD,anuefund_public
2022-04-12,141.3624,USD,anuefund_public
2022-04-13,142.5012,USD,anuefund_public
2022-04-14,145.5723,USD,anuefund_public
2022-04-19,145.7552,USD,anuefund_public
2022-04-20,141.7464,USD,anuefund_public
2022-04-21,142.2545,USD,anuefund_public
2022-04-22,135.4581,USD,anuefund_public
2022-04-25,130.996,USD,anuefund_public
2022-04-26,126.9849,USD,anuefund_public
2022-04-27,124.1673,USD,anuefund_public
2022-04-28,123.2863,USD,anuefund_public
2022-04-29,127.1392,USD,anuefund_public
2022-05-02,124.5081,USD,anuefund_public
2022-05-03,122.878,USD,anuefund_public
2022-05-04,124.5017,USD,anuefund_public
2022-05-05,127.3086,USD,anuefund_public
2022-05-06,122.7169,USD,anuefund_public
2022-05-09,120.3932,USD,anuefund_public
2022-05-10,114.5707,USD,anuefund_public
2022-05-11,112.7563,USD,anuefund_public
2022-05-12,111.281,USD,anuefund_public
2022-05-13,107.7658,USD,anuefund_public
2022-05-16,109.7375,USD,anuefund_public
2022-05-17,110.9676,USD,anuefund_public
2022-05-18,111.0391,USD,anuefund_public
2022-05-19,109.4396,USD,anuefund_public
2022-05-20,114.7758,USD,anuefund_public
2022-05-23,115.2332,USD,anuefund_public
2022-05-24,114.4336,USD,anuefund_public
2022-05-25,115.8727,USD,anuefund_public
2022-05-26,115.006,USD,anuefund_public
2022-05-27,114.8961,USD,anuefund_public
2022-05-30,115.6111,USD,anuefund_public
2022-05-31,115.2829,USD,anuefund_public
2022-06-01,111.5403,USD,anuefund_public
2022-06-02,112.2475,USD,anuefund_public
2022-06-03,116.8908,USD,anuefund_public
2022-06-06,115.0365,USD,anuefund_public
2022-06-07,112.3584,USD,anuefund_public
2022-06-08,113.1396,USD,anuefund_public
2022-06-09,112.2354,USD,anuefund_public
2022-06-10,107.8966,USD,anuefund_public
2022-06-13,112.5032,USD,anuefund_public
2022-06-14,105.705,USD,anuefund_public
2022-06-15,103.6229,USD,anuefund_public
2022-06-16,104.8172,USD,anuefund_public
2022-06-17,106.9862,USD,anuefund_public
2022-06-20,105.4939,USD,anuefund_public
2022-06-21,105.1277,USD,anuefund_public
2022-06-22,104.4073,USD,anuefund_public
2022-06-23,102.939,USD,anuefund_public
2022-06-24,99.5449,USD,anuefund_public
2022-06-27,100.1256,USD,anuefund_public
2022-06-28,101.8033,USD,anuefund_public
2022-06-29,98.0886,USD,anuefund_public
2022-06-30,96.2543,USD,anuefund_public
2022-07-01,93.0498,USD,anuefund_public
2022-07-04,95.972,USD,anuefund_public
2022-07-05,95.4065,USD,anuefund_public
2022-07-06,91.1496,USD,anuefund_public
2022-07-07,90.9289,USD,anuefund_public
2022-07-08,91.5236,USD,anuefund_public
2022-07-11,90.2602,USD,anuefund_public
2022-07-12,90.0984,USD,anuefund_public
2022-07-13,89.0467,USD,anuefund_public
2022-07-14,89.9405,USD,anuefund_public
2022-07-15,88.1361,USD,anuefund_public
2022-07-18,87.5156,USD,anuefund_public
2022-07-19,88.4828,USD,anuefund_public
2022-07-20,89.0072,USD,anuefund_public
2022-07-21,87.0406,USD,anuefund_public
2022-07-22,88.5112,USD,anuefund_public
2022-07-25,88.4503,USD,anuefund_public
2022-07-26,85.2745,USD,anuefund_public
2022-07-27,87.2977,USD,anuefund_public
2022-07-28,88.9621,USD,anuefund_public
2022-07-29,91.4665,USD,anuefund_public
2022-08-01,92.5546,USD,anuefund_public
2022-08-02,92.0503,USD,anuefund_public
2022-08-03,91.7717,USD,anuefund_public
2022-08-04,90.5184,USD,anuefund_public
2022-08-05,92.5148,USD,anuefund_public
2022-08-08,94.1506,USD,anuefund_public
